,Invoice ID,Name,Order Date,State,City,Categories,Subcategories,Ratings,Quantity,MRP,Final Price,GST%%,City_Tier,Discount%,Delivery Fee%,Brand,Sale,Covid,Month,Year,WEEKDAY,Log_Final Price,Time_Month,Gender,Current Job Title,Marital Status,Income (per month),Hobbies_Count,Age,has_child,Lives_in_city_tier,Clusters,More_than_average
13,OD119738522633432000,G3M1R5,20-09-2020,Delhi,New Delhi,Audio & Video,Headphones,3.9,1,325,350,18%,Tier_1,5,13,hilips,Yes,1st Wave,9,2020,Weekend,5.857933154,End,Male,RESEARCH SCHOLAR,Not Married,"Rs. 25,000 – 50,000",4,24,No,Tier 3,0,No
14,OD122545810765860000,G3M1R5,10-08-2021,Uttar Pradesh,Kanpur,Exercise & Fitness,Fitness Accessories,4.3,1,119,119,18%,Tier_2,0,0,FITKIT,No,No,8,2021,Weekday,4.779123493,Mid,Male,RESEARCH SCHOLAR,Not Married,"Rs. 25,000 – 50,000",4,24,No,Tier 3,0,No
15,OD122685217121401000,G3M1R5,26-08-2021,Uttar Pradesh,Kanpur,Audio & Video,Headphones,4.3,1,349,389,18%,Tier_2,0,12,boAt,No,No,8,2021,Weekday,5.963579344,End,Male,RESEARCH SCHOLAR,Not Married,"Rs. 25,000 – 50,000",4,24,No,Tier 3,0,No
16,OD122813833232914000,G3M1R5,10-09-2021,Uttar Pradesh,Kanpur,Health Care,Health Supplements,4.2,1,1399,1399,18%,Tier_2,0,0,MUSCLEBLAZE,No,No,9,2021,Weekday,7.243512975,Mid,Male,RESEARCH SCHOLAR,Not Married,"Rs. 25,000 – 50,000",4,24,No,Tier 3,0,No
17,OD122875819110041000,G3M1R5,17-09-2021,Uttar Pradesh,Kanpur,Health Care,Health Supplements,4.2,1,1399,1399,18%,Tier_2,0,0,MUSCLEBLAZE,No,No,9,2021,Weekday,7.243512975,Mid,Male,RESEARCH SCHOLAR,Not Married,"Rs. 25,000 – 50,000",4,24,No,Tier 3,0,No
18,OD122909067679224000,G3M1R5,21-09-2021,Uttar Pradesh,Kanpur,Health Care,Health Supplements,4.2,1,1399,1399,18%,Tier_2,0,0,MUSCLEBLAZE,No,No,9,2021,Weekday,7.243512975,End,Male,RESEARCH SCHOLAR,Not Married,"Rs. 25,000 – 50,000",4,24,No,Tier 3,0,No
19,OD122970892762485000,G3M1R5,28-09-2021,Uttar Pradesh,Kanpur,Health Care,Health Supplements,4.2,1,1499,1499,18%,Tier_2,0,0,MUSCLEBLAZE,No,No,9,2021,Weekday,7.312553498,End,Male,RESEARCH SCHOLAR,Not Married,"Rs. 25,000 – 50,000",4,24,No,Tier 3,0,No
20,OD119673972444216000,G3M1R6,12-09-2020,West Bengal,Ranghbaghi,Books,Books,4.5,1,247,247,0%,Tier 3,0,0,Books,No,No,9,2020,Weekend,5.509388337,Mid,Male,Junior Research Fellow,Not Married,"Rs. 25,000 – 50,000",5,25,No,Tier_1,0,Yes
21,OD120136831585343000,G3M1R6,05-11-2020,West Bengal,Ranghbaghi,Mobiles & Accessories,Mobiles,4.4,1,12999,12999,18%,Tier 3,0,0,POCO,No,1st Wave,11,2020,Weekday,9.47262771,Beginning,Male,Junior Research Fellow,Not Married,"Rs. 25,000 – 50,000",5,25,No,Tier_1,0,Yes
22,OD120335361868638000,G3M1R6,27-11-2020,West Bengal,Ranghbaghi,Mobiles & Accessories,Mobile Accessories,4.1,1,119,167,28%,Tier 3,0,41,CHVTS,No,No,11,2020,Weekday,5.117993812,End,Male,Junior Research Fellow,Not Married,"Rs. 25,000 – 50,000",5,25,No,Tier_1,0,Yes
23,OD120410860354442000,G3M1R6,06-12-2020,West Bengal,Bidhan Nagar,Toys and Games,Soft Toys,4.2,1,699,699,12%,Tier 3,0,0,FamilyStore,No,1st Wave,12,2020,Weekend,6.549650742,Beginning,Male,Junior Research Fellow,Not Married,"Rs. 25,000 – 50,000",5,25,No,Tier_1,0,Yes
24,OD121850888257304000,G3M1R6,22-05-2021,West Bengal,Ranghbaghi,Beauty and Grooming,Body & Face Skin Care,4.5,1,149,149,18%,Tier 3,0,0,Garnier,No,2nd Wave,5,2021,Weekend,5.003946306,End,Male,Junior Research Fellow,Not Married,"Rs. 25,000 – 50,000",5,25,No,Tier_1,0,Yes
25,OD121850888257304000,G3M1R6,22-05-2021,West Bengal,Ranghbaghi,Beauty and Grooming,Body & Face Skin Care,4.4,1,203,192,18%,Tier 3,6,0,HIMALAYA,No,2nd Wave,5,2021,Weekend,5.257495372,End,Male,Junior Research Fellow,Not Married,"Rs. 25,000 – 50,000",5,25,No,Tier_1,0,Yes
26,OD121907167346845000,G3M1R6,28-05-2021,West Bengal,Ranghbaghi,Audio & Video,Headphones,3.6,1,1399,1399,18%,Tier 3,0,0,boAt,No,2nd Wave,5,2021,Weekday,7.243512975,End,Male,Junior Research Fellow,Not Married,"Rs. 25,000 – 50,000",5,25,No,Tier_1,0,Yes
27,OD119656596585580000,G3M1R6,10-09-2020,West Bengal,Ranghbaghi,"Bags, Wallets & Belts",Backpacks,4,1,1179,1179,18%,Tier 3,0,0,Books,No,1st Wave,9,2020,Weekday,7.072421901,Mid,Male,Junior Research Fellow,Not Married,"Rs. 25,000 – 50,000",5,25,No,Tier_1,0,Yes
28,OD121276403113883000,G3M1R7,16-03-2021,Haryana,Gurugram,Clothing and Accessories,"Kurtas, Ethnic Sets and Bottoms",3.1,1,1499,1499,12%,Tier_2,0,0,7TH,No,No,3,2021,Weekday,7.312553498,Mid,Female,Housewife,Married,"Rs. 1,00, 000 – 1,50,000",3,48,Yes,Tier 3,1,Yes
29,OD121317919935084000,G3M1R7,21-03-2021,Haryana,Gurugram,Clothing and Accessories,Dresses and Gowns,4,1,731,761,5%,Tier_2,0,5,Shree,No,2nd Wave,3,2021,Weekend,6.634633358,End,Female,Housewife,Married,"Rs. 1,00, 000 – 1,50,000",3,48,Yes,Tier 3,1,Yes
30,OD121487298189347000,G3M1R7,10-04-2021,Haryana,Gurugram,Clothing and Accessories,"Kurtas, Ethnic Sets and Bottoms",3.7,1,799,844,5%,Tier_2,0,6,RAGHUADS,No,No,4,2021,Weekend,6.738152495,Mid,Female,Housewife,Married,"Rs. 1,00, 000 – 1,50,000",3,48,Yes,Tier 3,1,Yes
31,OD121576923047407000,G3M1R7,20-04-2021,Haryana,Gurugram,Home Furnishing,Bed Linen & Blankets,3.5,1,369,369,5%,Tier_2,0,0,Luxury,No,2nd Wave,4,2021,Weekday,5.910796644,End,Female,Housewife,Married,"Rs. 1,00, 000 – 1,50,000",3,48,Yes,Tier 3,1,Yes
32,OD121582192598244000,G3M1R7,21-04-2021,Haryana,Gurugram,Clothing and Accessories,"Kurtas, Ethnic Sets and Bottoms",4.3,1,479,479,5%,Tier_2,0,0,Skc,No,2nd Wave,4,2021,Weekday,6.171700597,End,Female,Housewife,Married,"Rs. 1,00, 000 – 1,50,000",3,48,Yes,Tier 3,1,Yes
33,OD121644973790674000,G3M1R7,28-04-2021,Haryana,Gurugram,Beauty and Grooming,Hair Care and Accessory,4.1,1,449,511,18%,Tier_2,0,14,MamaEarth,No,2nd Wave,4,2021,Weekday,6.23636959,End,Female,Housewife,Married,"Rs. 1,00, 000 – 1,50,000",3,48,Yes,Tier 3,1,Yes
34,OD121644973790674000,G3M1R7,28-04-2021,West Bengal,Ranghbaghi,Beauty and Grooming,Hair Care and Accessory,4.1,1,449,511,18%,Tier 3,0,14,MamaEarth,No,2nd Wave,4,2021,Weekday,6.23636959,End,Female,Housewife,Married,"Rs. 1,00, 000 – 1,50,000",3,48,Yes,Tier 3,1,Yes
35,OD121798994913779000,G3M1R7,16-05-2021,Haryana,Gurugram,"Kitchen, Cookware & Serveware","Knives, Choppers & Cutters",4.2,1,451,1,0%,Tier_2,100,0,Ganesh,No,2nd Wave,5,2021,Weekend,0,Mid,Female,Housewife,Married,"Rs. 1,00, 000 – 1,50,000",3,48,Yes,Tier 3,1,Yes
36,OD221992334674215000,G3M1R7,07-06-2021,Haryana,Gurugram,Clothing and Accessories,Bottomwear,4.6,1,349,349,5%,Tier_2,0,0,Epoxy,No,No,6,2021,Weekday,5.855071922,Beginning,Female,Housewife,Married,"Rs. 1,00, 000 – 1,50,000",3,48,Yes,Tier 3,1,Yes
37,OD222016459417811000,G3M1R7,10-06-2021,Haryana,Gurugram,Jewellery,Artificial Jewellery,4,1,169,169,0%,Tier_2,0,0,NAKSHATRA,No,No,6,2021,Weekday,5.129898715,Mid,Female,Housewife,Married,"Rs. 1,00, 000 – 1,50,000",3,48,Yes,Tier 3,1,Yes
38,OD222088745433449000,G3M1R7,18-06-2021,Haryana,Gurugram,Health Care,Home Medical Supplies,3.9,1,299,299,5%,Tier_2,0,0,Nea,No,No,6,2021,Weekday,5.700443573,Mid,Female,Housewife,Married,"Rs. 1,00, 000 – 1,50,000",3,48,Yes,Tier 3,1,Yes
39,OD222175582191529000,G3M1R7,28-06-2021,Haryana,Gurugram,Clothing and Accessories,Topwear,4.1,1,364,363,5%,Tier_2,12,11,Roden,Yes,No,6,2021,Weekday,5.894402834,End,Female,Housewife,Married,"Rs. 1,00, 000 – 1,50,000",3,48,Yes,Tier 3,1,Yes
40,OD222208202388419000,G3M1R7,02-07-2021,Haryana,Gurugram,Clothing and Accessories,Topwear,4,1,307,326,5%,Tier_2,7,14,Roden,Yes,No,7,2021,Weekday,5.786897381,Beginning,Female,Housewife,Married,"Rs. 1,00, 000 – 1,50,000",3,48,Yes,Tier 3,1,Yes
41,OD222294511046956000,G3M1R7,12-07-2020,Haryana,Gurugram,Home Furnishing,Bed Linen & Blankets,3.9,1,272,272,5%,Tier_2,0,0,zabolon,No,No,7,2020,Weekend,5.605802066,Mid,Female,Housewife,Married,"Rs. 1,00, 000 – 1,50,000",3,48,Yes,Tier 3,1,Yes
42,OD222380158110050000,G3M1R7,22-07-2021,Haryana,Gurugram,Health Care,Home Medical Supplies,4,1,164,164,18%,Tier_2,0,0,Aryshaa,No,No,7,2021,Weekday,5.099866428,End,Female,Housewife,Married,"Rs. 1,00, 000 – 1,50,000",3,48,Yes,Tier 3,1,Yes
43,OD222546805641621000,G3M1R7,10-08-2021,Haryana,Gurugram,Beauty and Grooming,Body & Face Skin Care,4.1,1,118,160,18%,Tier_2,0,36,ShopiMoz,No,No,8,2021,Weekday,5.075173815,Mid,Female,Housewife,Married,"Rs. 1,00, 000 – 1,50,000",3,48,Yes,Tier 3,1,Yes
44,OD222650859437555000,G3M1R7,22-08-2021,Haryana,Gurugram,Health Care,Professional medical supplies,4.3,1,249,249,5%,Tier_2,0,0,3W,No,No,8,2021,Weekend,5.517452896,End,Female,Housewife,Married,"Rs. 1,00, 000 – 1,50,000",3,48,Yes,Tier 3,1,Yes
45,OD222797072279067000,G3M1R7,08-09-2021,Haryana,Gurugram,Food Products,Tea Powder,4.4,1,156,156,5%,Tier_2,0,0,Lipton,Yes,No,9,2021,Weekday,5.049856007,Beginning,Female,Housewife,Married,"Rs. 1,00, 000 – 1,50,000",3,48,Yes,Tier 3,1,Yes
46,OD222797083943245000,G3M1R7,08-09-2021,Haryana,Gurugram,Food Products,Food Spreads,4.5,1,293,293,12%,Tier_2,0,0,MYFITNESS,Yes,No,9,2021,Weekday,5.680172609,Beginning,Female,Housewife,Married,"Rs. 1,00, 000 – 1,50,000",3,48,Yes,Tier 3,1,Yes
47,OD222972947918934000,G3M1R7,29-09-2021,Haryana,Gurugram,Clothing and Accessories,"Kurtas, Ethnic Sets and Bottoms",4.3,1,566,566,5%,Tier_2,0,0,jayleen,No,No,9,2021,Weekday,6.338594078,End,Female,Housewife,Married,"Rs. 1,00, 000 – 1,50,000",3,48,Yes,Tier 3,1,Yes
48,OD222977741348042000,G3M1R7,29-09-2021,Haryana,Gurugram,Exercise & Fitness,Fitness Accessories,3.3,1,199,232,5%,Tier_2,0,17,SKYFIT,No,No,9,2021,Weekday,5.446737372,End,Female,Housewife,Married,"Rs. 1,00, 000 – 1,50,000",3,48,Yes,Tier 3,1,Yes
49,OD222982317911473000,G3M1R7,30-09-2021,Haryana,Gurugram,Clothing and Accessories,"Kurtas, Ethnic Sets and Bottoms",4.4,1,934,887,5%,Tier_2,6,0,Dhavan,No,No,9,2021,Weekday,6.787844982,End,Female,Housewife,Married,"Rs. 1,00, 000 – 1,50,000",3,48,Yes,Tier 3,1,Yes
50,OD223011842632064000,G3M1R7,03-10-2021,Haryana,Gurugram,Health Care,Home Medical Supplies,4.1,1,194,194,5%,Tier_2,0,0,Nea,No,No,10,2021,Weekend,5.267858159,Beginning,Female,Housewife,Married,"Rs. 1,00, 000 – 1,50,000",3,48,Yes,Tier 3,1,Yes
51,OD222852318147337000,G3M1R7,15-09-2021,Haryana,Gurugram,Clothing and Accessories,"Kurtas, Ethnic Sets and Bottoms",4,1,699,699,5%,Tier_2,0,0,Nk,No,No,9,2021,Weekday,6.549650742,Mid,Female,Housewife,Married,"Rs. 1,00, 000 – 1,50,000",3,48,Yes,Tier 3,1,Yes
52,OD121773991222602000,G3M1R3,13-05-2021,Delhi,New Delhi,"Kitchen, Cookware & Serveware",Cookware,3.8,1,355,395,12%,Tier_1,0,12,Expressionss,No,2nd Wave,5,2021,Weekday,5.978885765,Mid,Female,Research scholar,Not Married,"Rs. 25,000 – 50,000",1,24,No,Tier 3,0,No
53,OD121774030011481000,G3M1R3,13-05-2021,Delhi,New Delhi,Audio & Video,Headphones,4.3,1,379,379,18%,Tier_1,0,0,boAt,No,2nd Wave,5,2021,Weekday,5.937536205,Mid,Female,Research scholar,Not Married,"Rs. 25,000 – 50,000",1,24,No,Tier 3,0,No
54,OD121890315111717000,G3M1R3,26-05-2021,Delhi,New Delhi,"Kitchen, Cookware & Serveware",Cookware,4.2,1,399,399,12%,Tier_1,0,0,Trandx,No,2nd Wave,5,2021,Weekday,5.988961417,End,Female,Research scholar,Not Married,"Rs. 25,000 – 50,000",1,24,No,Tier 3,0,No
55,OD222699937076959000,G3M1R8,28-08-2021,West Bengal,Kolkata,Health Care,Professional medical supplies,3.9,1,199,199,5%,Tier_1,0,0,Sugero,No,No,8,2021,Weekend,5.293304825,End,Female,PhD Student,Not Married,"Rs. 25,000 – 50,000",2,23,No,Tier_1,0,No
56,OD222699947484464000,G3M1R8,29-08-2021,West Bengal,Kolkata,Food Products,Food Products,4.4,10,1565,922,5%,Tier_1,42,0,HOUSEHOLD,No,No,8,2021,Weekend,6.826545224,End,Female,PhD Student,Not Married,"Rs. 25,000 – 50,000",2,23,No,Tier_1,0,No
57,OD222718743081617000,G3M1R8,30-08-2021,West Bengal,Kolkata,Health Care,Professional medical supplies,3.9,1,199,199,5%,Tier_1,0,0,Sugero,No,No,8,2021,Weekday,5.293304825,End,Female,PhD Student,Not Married,"Rs. 25,000 – 50,000",2,23,No,Tier_1,0,No
58,OD222970591396236000,G3M1R8,08-09-2021,West Bengal,Kolkata,Food Products,Food Products,4.4,13,2725,1754,0%,Tier_1,36,0,HOUSEHOLD,Yes,No,9,2021,Weekday,7.469654173,Beginning,Female,PhD Student,Not Married,"Rs. 25,000 – 50,000",2,23,No,Tier_1,0,No
59,OD115194569521464000,G3M1R9,12-04-2019,Delhi,New Delhi,Home Lighting,Utility Lighting,4.1,1,317,341,5%,Tier_1,0,8,Meenamart,Yes,No,4,2019,Weekday,5.831882477,Mid,Male,Student,Not Married,Prefer Not to Say,2,21,No,Tier 3,0,Yes
60,OD117109433558543000,G3M1R9,20-11-2019,Delhi,New Delhi,Health & Personal Care Appliances,Personal Care Appliances,3.7,1,219,284,5%,Tier_1,0,30,Professional,No,No,11,2019,Weekday,5.648974238,End,Male,Student,Not Married,Prefer Not to Say,2,21,No,Tier 3,0,Yes
61,OD117418883175508000,G3M1R9,26-12-2019,Uttarakhand,Haridwar,Books,Books,3.9,1,294,294,0%,Tier 3,0,0,IIT-JAM,No,No,12,2019,Weekday,5.683579767,End,Male,Student,Not Married,Prefer Not to Say,2,21,No,Tier 3,0,Yes
62,OD220620105233410000,G3M1R9,30-12-2020,Uttarakhand,Haridwar,Footwear,Men's Footwear,4.1,1,999,999,5%,Tier 3,0,0,Bata,No,No,12,2020,Weekday,6.906754779,End,Male,Student,Not Married,Prefer Not to Say,2,21,No,Tier 3,0,Yes
63,OD220846985145562000,G3M1R9,26-01-2021,Delhi,New Delhi,Health Care,Health Supplements,4.2,1,1499,1499,18%,Tier_1,0,0,Optimum,Yes,No,1,2021,Weekday,7.312553498,End,Male,Student,Not Married,Prefer Not to Say,2,21,No,Tier 3,0,Yes
64,OD221424005251116000,G3M1R9,02-04-2021,Uttarakhand,Haridwar,Books,Books,4.5,1,285,285,0%,Tier 3,0,0,Fast,Yes,No,4,2021,Weekday,5.65248918,Beginning,Male,Student,Not Married,Prefer Not to Say,2,21,No,Tier 3,0,Yes
65,OD221424005251116000,G3M1R9,03-04-2021,Uttarakhand,Haridwar,Books,Books,4.5,1,342,342,0%,Tier 3,0,0,Cbse,No,No,4,2021,Weekend,5.834810737,Beginning,Male,Student,Not Married,Prefer Not to Say,2,21,No,Tier 3,0,Yes
66,OD221606447830273000,G3M1R9,24-04-2021,Uttarakhand,Haridwar,Health & Personal Care Appliances,Health Care,3.4,1,1699,1674,12%,Tier 3,2,0,Flipkart,No,2nd Wave,4,2021,Weekend,7.422971251,End,Male,Student,Not Married,Prefer Not to Say,2,21,No,Tier 3,0,Yes
67,OD222160586833839000,G3M1R9,27-06-2021,Uttarakhand,Haridwar,Clothing and Accessories,Bottomwear,4.1,1,419,419,5%,Tier 3,0,0,METRONAUT,Yes,No,6,2021,Weekend,6.03787092,End,Male,Student,Not Married,Prefer Not to Say,2,21,No,Tier 3,0,Yes
68,OD222219401428020000,G3M1R9,04-07-2021,Uttarakhand,Haridwar,Home Lighting,Decor lighting & Accessories,4.4,1,299,299,12%,Tier 3,0,0,MANSAA,No,2nd Wave,7,2021,Weekend,5.700443573,Beginning,Male,Student,Not Married,Prefer Not to Say,2,21,No,Tier 3,0,Yes
69, OD222992979905181000,G3M1R9,10-01-2021,Uttarakhand,Haridwar,Audio & Video,Headphones,3.3,1,699,699,18%,Tier 3,0,0,Mivi,No,No,1,2021,Weekend,6.549650742,Mid,Male,Student,Not Married,Prefer Not to Say,2,21,No,Tier 3,0,Yes
70,OD223004237655773000,G3M1R9,03-10-2021,Uttarakhand,Haridwar,Computers,Laptops,4,1,30000,30000,18%,Tier 3,0,0,ASUS,No,No,10,2021,Weekend,10.30895266,Beginning,Male,Student,Not Married,Prefer Not to Say,2,21,No,Tier 3,0,Yes
71,OD223004720535120000,G3M1R9,02-10-2021,Uttarakhand,Haridwar,Books,Books,4.4,1,350,390,0%,Tier 3,0,12,Pathfinder,Yes,No,10,2021,Weekend,5.966146739,Beginning,Male,Student,Not Married,Prefer Not to Say,2,21,No,Tier 3,0,Yes
72,OD221527054196186000,G3M1R9,14-04-2021,Uttarakhand,Haridwar,Clothing and Accessories,Clothing Accessories,3.8,1,189,217,5%,Tier 3,7,22,ILU,Yes,2nd Wave,4,2021,Weekday,5.379897354,Mid,Male,Student,Not Married,Prefer Not to Say,2,21,No,Tier 3,0,Yes
73,OD119678584944915000,G3M1R10,12-09-2020,Haryana,Jind,Health & Personal Care Appliances,Personal Care Appliances,4.3,1,999,899,18%,Tier 3,11,0,MI,No,No,9,2020,Weekend,6.801283034,Mid,Female,Student,Not Married,Prefer Not to Say,2,24,No,Tier 3,0,No
74,OD121010051099640000,G3M1R10,14-02-2021,Haryana,Jind,Footwear,Men's Footwear,4.3,1,1487,1412,18%,Tier 3,6,0,fila,Yes,No,2,2021,Weekend,7.252762418,Mid,Female,Student,Not Married,Prefer Not to Say,2,24,No,Tier 3,0,No
75,OD12151877010402400,G3M1R10,14-04-2021,Haryana,Jind,Footwear,Men's Footwear,4.2,1,1279,1178,18%,Tier 3,8,0,Puma,Yes,2nd Wave,4,2021,Weekday,7.071573364,Mid,Female,Student,Not Married,Prefer Not to Say,2,24,No,Tier 3,0,No
76,FAA40880590163969925,G3M2R1,10-04-2020,Karnataka,Tumkur,Clothing and Accessories,Topwear,4.3,1,499,499,5%,Tier 3,0,0,Jockey,No,1st Wave,4,2020,Weekday,6.212606096,Mid,Male,Engineer,Not Married,Prefer Not to Say,1,23,Yes,Tier 3,0,Yes
77,FAA40880378132425161,G3M2R1,12-09-2020,Karnataka,Tumkur,Mobiles & Accessories,Mobile Accessories,4.4,1,197,197,0%,Tier 3,0,0,PRUSHTI,No,No,9,2020,Weekend,5.283203729,Mid,Male,Engineer,Not Married,Prefer Not to Say,1,23,Yes,Tier 3,0,Yes
78,FAA40839794787365105,G3M2R1,12-09-2020,Karnataka,Tumkur,Mobiles & Accessories,Mobile Accessories,4.1,1,197,197,0%,Tier 3,0,0,JPBROTHERS,No,No,9,2020,Weekend,5.283203729,Mid,Male,Engineer,Not Married,Prefer Not to Say,1,23,Yes,Tier 3,0,Yes
79,FAA40881276752140309,G3M2R1,12-09-2020,Karnataka,Tumkur,Mobiles & Accessories,Mobile Accessories,4.2,1,145,145,18%,Tier 3,0,0,CEDO,No,No,9,2020,Weekend,4.976733742,Mid,Male,Engineer,Not Married,Prefer Not to Say,1,23,Yes,Tier 3,0,Yes
80,FAA40899931678977903,G3M2R1,05-01-2021,Karnataka,Tumkur,Pens & Stationery,Pens & Stationery,4.5,1,430,420,12%,Tier 3,3,0,Classmate,No,2nd Wave,1,2021,Weekday,6.040254711,Beginning,Male,Engineer,Not Married,Prefer Not to Say,1,23,Yes,Tier 3,0,Yes
81,FAA40838007010987561,G3M2R1,05-01-2021,Karnataka,Tumkur,Books,Books,4.3,1,290,290,0%,Tier 3,0,0,NCERT,No,2nd Wave,1,2021,Weekday,5.669880923,Beginning,Male,Engineer,Not Married,Prefer Not to Say,1,23,Yes,Tier 3,0,Yes
82,FAA40814353887341918,G3M2R1,05-01-2021,Karnataka,Tumkur,Books,Books,4.5,1,459,459,0%,Tier 3,0,0,Problems,No,2nd Wave,1,2021,Weekday,6.12905021,Beginning,Male,Engineer,Not Married,Prefer Not to Say,1,23,Yes,Tier 3,0,Yes
83,FAF09146411768633,G3M2R1,09-02-2021,Karnataka,Tumkur,Books,Books,4.6,1,119.77,119.77,5%,Tier 3,0,0,Books,No,No,2,2021,Weekday,4.785573237,Beginning,Male,Engineer,Not Married,Prefer Not to Say,1,23,Yes,Tier 3,0,Yes
84,FAA40865094269220300,G3M2R1,04-03-2021,Karnataka,Tumkur,Home Furnishing,Bed Linen & Blankets,3.9,1,339,339,5%,Tier 3,0,0,Microfibre,Yes,2nd Wave,3,2021,Weekday,5.826000107,Beginning,Male,Engineer,Not Married,Prefer Not to Say,1,23,Yes,Tier 3,0,Yes
85,FAA40874302442056357,G3M2R1,06-03-2021,Karnataka,Tumkur,Mobiles & Accessories,Tablet Accessories,4.7,1,6799,6799,18%,Tier 3,0,0,Kindle,No,2nd Wave,3,2021,Weekend,8.824530822,Beginning,Male,Engineer,Not Married,Prefer Not to Say,1,23,Yes,Tier 3,0,Yes
86,FAA40847231253708366,G3M2R1,04-04-2021,Karnataka,Tumkur,Home Furnishing,Bath Linen,4,1,719,719,5%,Tier 3,0,0,Solimo,No,2nd Wave,4,2021,Weekend,6.577861358,Beginning,Male,Engineer,Not Married,Prefer Not to Say,1,23,Yes,Tier 3,0,Yes
