,Invoice ID,Name,Order Date,State,City,Categories,Subcategories,Ratings,Quantity,MRP,Final Price,GST%%,Covid,City_Tier,Discount%,Delivery Fee%,Sale,Brand,Month,Year,WEEKDAY,Log_Final Price,Time_Month,Gender,Current Job Title,Marital Status,Do you have to care for anyone with chronic illness?,Income (per month),Preferred Mode of Payment,Do you practise meditation? Yes/No,If yes,Do you do any form of exercise?,If yes.1, How often do you volunteer for social-service activities?,Hobbies_Count,How often do you pursue your hobbies?,"In most ways, my life is close to my ideal",The Conditions in my life are excellent.,"So far, I have got the important things I want in my life","If I could live my life over, I would change almost nothing",Many people have directly or indirectly contributed to my progress in life,I feel good when I co-operate with others,"When making a decision, I take other people's needs and feelings into account.","It is my duty to take care of my family, even when I have to sacrifice what I want.",Honesty is important to achieve success,Social inequalities bother me,What I am today is solely because of my hard work and talent,People should keep their troubles to themselves,It is important that I do my job better than others,Winning is everything,I don’t worry about others as long as I am happy,It upsets me when my work is not recognized by others,Traditional values are important for me,I plan for the long-term,I am willing to give up today’s fun for future success,I believe persistence is key to success,Saving money is important to me,It is okay to use shortcuts to get what you want,I like to get quick results,I would rather spend money today than save for future,"When my routine is disturbed, it upsets me","I admire people who own expensive homes, cars, and clothes",The things I own say a lot about how well I’m doing in life,I aspire a luxurious and comfortable lifestyle,My life would be better if I owned certain things I don’t have,I’d be happier if I could afford to buy more things,I don’t pay much attention to the material objects other people own,I usually buy only the things I need,I have all the things I really need to enjoy life,My happiness does not depend on things I own,There is a higher purpose to life than comfort and luxury,I believe success in life does not mean becoming rich,I segregate waste before its disposal,I try to conserve water,I try to educate people I know about climate change,I sign petitions related to environmental issues,I try to conserve electricity,I walk/cycle/use public transport to save fuel,Age,has_child,Lives_in_city_tier
10,OD120136831585343000,G3M1R6,2020-11-05,West Bengal,Ranghbaghi,Mobiles & Accessories,Mobiles,4.4,1,12999.0,12999.0,18%,1st Wave,Tier 3,0,0,No,POCO,11,2020,Weekday,9.47262771040802,Beginning,Male,Junior Research Fellow,Not Married,No,"Rs. 25,000 – 50,000",UPI,Yes,sometimes but not consistent,Yes,once or twice a week,Rarely,5.0,sometimes,5.0,5.0,7.0,6.0,6.0,7.0,5.0,7.0,7.0,6.0,5.0,2.0,1.0,1.0,7.0,4.0,6.0,5.0,5.0,7.0,7.0,3.0,2.0,4.0,7.0,1.0,7.0,1.0,1.0,1.0,2.0,4.0,7.0,4.0,7.0,7.0,2.0,3.0,4.0,4.0,3.0,3.0,25.0,No,Tier_1
11,OD120335361868638000,G3M1R6,2020-11-27,West Bengal,Ranghbaghi,Mobiles & Accessories,Mobile Accessories,4.1,1,119.0,167.0,28%,1st Wave,Tier 3,0,41,Yes,CHVTS,11,2020,Weekday,5.117993812416755,End,Male,Junior Research Fellow,Not Married,No,"Rs. 25,000 – 50,000",UPI,Yes,sometimes but not consistent,Yes,once or twice a week,Rarely,5.0,sometimes,5.0,5.0,7.0,6.0,6.0,7.0,5.0,7.0,7.0,6.0,5.0,2.0,1.0,1.0,7.0,4.0,6.0,5.0,5.0,7.0,7.0,3.0,2.0,4.0,7.0,1.0,7.0,1.0,1.0,1.0,2.0,4.0,7.0,4.0,7.0,7.0,2.0,3.0,4.0,4.0,3.0,3.0,25.0,No,Tier_1
12,OD120410860354442000,G3M1R6,2020-12-06,West Bengal,Bidhan Nagar,Toys and Games,Soft Toys,4.2,1,699.0,699.0,12%,No,Tier 3,0,0,Yes,FamilyStore,12,2020,Weekend,6.54965074223381,Beginning,Male,Junior Research Fellow,Not Married,No,"Rs. 25,000 – 50,000",UPI,Yes,sometimes but not consistent,Yes,once or twice a week,Rarely,5.0,sometimes,5.0,5.0,7.0,6.0,6.0,7.0,5.0,7.0,7.0,6.0,5.0,2.0,1.0,1.0,7.0,4.0,6.0,5.0,5.0,7.0,7.0,3.0,2.0,4.0,7.0,1.0,7.0,1.0,1.0,1.0,2.0,4.0,7.0,4.0,7.0,7.0,2.0,3.0,4.0,4.0,3.0,3.0,25.0,No,Tier_1
13, OD120558265400507000,G3M1R4,2020-12-23,Karnataka,Bengaluru,Furniture,Chairs,4.4,1,14578.0,14578.0,18%,No,Tier_1,0,0,No,Featherlite,12,2020,Weekday,9.587268821942159,End,Male,"Domain Expert, Ergonomics",Married,No,Prefer Not to Say,UPI,Yes,sometimes but not consistent,Yes,sometimes but not consistent,Rarely,2.0,very often,3.0,4.0,4.0,5.0,6.0,6.0,6.0,7.0,6.0,5.0,3.0,3.0,7.0,1.0,1.0,6.0,5.0,5.0,7.0,7.0,6.0,6.0,7.0,2.0,5.0,2.0,4.0,6.0,3.0,3.0,5.0,5.0,6.0,7.0,7.0,7.0,3.0,4.0,4.0,1.0,6.0,1.0,32.0,No,Tier 3
14,OD121117394968508000,G3M1R4,2021-02-26,Karnataka,Bengaluru,Books,Books,4.6,1,699.0,704.0,0%,No,Tier_1,4,5,Yes,Human,2,2021,Weekday,6.556778356158042,End,Male,"Domain Expert, Ergonomics",Married,No,Prefer Not to Say,UPI,Yes,sometimes but not consistent,Yes,sometimes but not consistent,Rarely,2.0,very often,3.0,4.0,4.0,5.0,6.0,6.0,6.0,7.0,6.0,5.0,3.0,3.0,7.0,1.0,1.0,6.0,5.0,5.0,7.0,7.0,6.0,6.0,7.0,2.0,5.0,2.0,4.0,6.0,3.0,3.0,5.0,5.0,6.0,7.0,7.0,7.0,3.0,4.0,4.0,1.0,6.0,1.0,32.0,No,Tier 3
15,OD121276403113883000,G3M1R7,2021-03-16,Haryana,Gurugram,Clothing and Accessories,"Kurtas, Ethnic Sets and Bottoms",3.1,1,1499.0,1499.0,12%,No,Tier_2,0,0,Yes,7TH,3,2021,Weekday,7.312553498102598,Mid,Female,Housewife,Married,No,"Rs. 1,00, 000 – 1,50,000",Debit Card,Yes,sometimes but not consistent,Yes,once or twice a week,Sometimes,3.0,very often,6.0,6.0,6.0,5.0,6.0,7.0,6.0,6.0,7.0,7.0,7.0,3.0,7.0,5.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,4.0,7.0,6.0,7.0,1.0,7.0,6.0,7.0,5.0,7.0,5.0,3.0,6.0,7.0,7.0,5.0,7.0,5.0,4.0,7.0,4.0,48.0,Yes,Tier 3
16,OD121317919935084000,G3M1R7,2021-03-21,Haryana,Gurugram,Clothing and Accessories,Dresses and Gowns,4.0,1,731.0,761.0,5%,2nd Wave,Tier_2,0,5,Yes,Shree,3,2021,Weekend,6.634633357861686,End,Female,Housewife,Married,No,"Rs. 1,00, 000 – 1,50,000",Debit Card,Yes,sometimes but not consistent,Yes,once or twice a week,Sometimes,3.0,very often,6.0,6.0,6.0,5.0,6.0,7.0,6.0,6.0,7.0,7.0,7.0,3.0,7.0,5.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,4.0,7.0,6.0,7.0,1.0,7.0,6.0,7.0,5.0,7.0,5.0,3.0,6.0,7.0,7.0,5.0,7.0,5.0,4.0,7.0,4.0,48.0,Yes,Tier 3
17,OD121487298189347000,G3M1R7,2021-04-10,Haryana,Gurugram,Clothing and Accessories,"Kurtas, Ethnic Sets and Bottoms",3.7,1,799.0,844.0,5%,2nd Wave,Tier_2,0,6,Yes,RAGHUADS,4,2021,Weekend,6.738152494595957,Mid,Female,Housewife,Married,No,"Rs. 1,00, 000 – 1,50,000",Debit Card,Yes,sometimes but not consistent,Yes,once or twice a week,Sometimes,3.0,very often,6.0,6.0,6.0,5.0,6.0,7.0,6.0,6.0,7.0,7.0,7.0,3.0,7.0,5.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,4.0,7.0,6.0,7.0,1.0,7.0,6.0,7.0,5.0,7.0,5.0,3.0,6.0,7.0,7.0,5.0,7.0,5.0,4.0,7.0,4.0,48.0,Yes,Tier 3
18,OD121576923047407000,G3M1R7,2021-04-20,Haryana,Gurugram,Home Furnishing,Bed Linen & Blankets,3.5,1,369.0,369.0,5%,2nd Wave,Tier_2,0,0,Yes,Luxury,4,2021,Weekday,5.910796644040527,End,Female,Housewife,Married,No,"Rs. 1,00, 000 – 1,50,000",Debit Card,Yes,sometimes but not consistent,Yes,once or twice a week,Sometimes,3.0,very often,6.0,6.0,6.0,5.0,6.0,7.0,6.0,6.0,7.0,7.0,7.0,3.0,7.0,5.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,4.0,7.0,6.0,7.0,1.0,7.0,6.0,7.0,5.0,7.0,5.0,3.0,6.0,7.0,7.0,5.0,7.0,5.0,4.0,7.0,4.0,48.0,Yes,Tier 3
19,OD121582192598244000,G3M1R7,2021-04-21,Haryana,Gurugram,Clothing and Accessories,"Kurtas, Ethnic Sets and Bottoms",4.3,1,479.0,479.0,5%,2nd Wave,Tier_2,0,0,Yes,Skc,4,2021,Weekday,6.171700597410915,End,Female,Housewife,Married,No,"Rs. 1,00, 000 – 1,50,000",Debit Card,Yes,sometimes but not consistent,Yes,once or twice a week,Sometimes,3.0,very often,6.0,6.0,6.0,5.0,6.0,7.0,6.0,6.0,7.0,7.0,7.0,3.0,7.0,5.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,4.0,7.0,6.0,7.0,1.0,7.0,6.0,7.0,5.0,7.0,5.0,3.0,6.0,7.0,7.0,5.0,7.0,5.0,4.0,7.0,4.0,48.0,Yes,Tier 3
20,OD121644973790674000,G3M1R7,2021-04-28,Haryana,Gurugram,Beauty and Grooming,Hair Care and Accessory,4.1,1,449.0,511.0,18%,2nd Wave,Tier_2,0,14,Yes,MamaEarth,4,2021,Weekday,6.236369590203704,End,Female,Housewife,Married,No,"Rs. 1,00, 000 – 1,50,000",Debit Card,Yes,sometimes but not consistent,Yes,once or twice a week,Sometimes,3.0,very often,6.0,6.0,6.0,5.0,6.0,7.0,6.0,6.0,7.0,7.0,7.0,3.0,7.0,5.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,4.0,7.0,6.0,7.0,1.0,7.0,6.0,7.0,5.0,7.0,5.0,3.0,6.0,7.0,7.0,5.0,7.0,5.0,4.0,7.0,4.0,48.0,Yes,Tier 3
21,OD121644973790674000,G3M1R7,2021-04-28,West Bengal,Ranghbaghi,Beauty and Grooming,Hair Care and Accessory,4.1,1,449.0,511.0,18%,2nd Wave,Tier 3,0,14,Yes,MamaEarth,4,2021,Weekday,6.236369590203704,End,Female,Housewife,Married,No,"Rs. 1,00, 000 – 1,50,000",Debit Card,Yes,sometimes but not consistent,Yes,once or twice a week,Sometimes,3.0,very often,6.0,6.0,6.0,5.0,6.0,7.0,6.0,6.0,7.0,7.0,7.0,3.0,7.0,5.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,4.0,7.0,6.0,7.0,1.0,7.0,6.0,7.0,5.0,7.0,5.0,3.0,6.0,7.0,7.0,5.0,7.0,5.0,4.0,7.0,4.0,48.0,Yes,Tier 3
22,OD121656434350788000,G3M1R4,2021-04-29,Karnataka,Bengaluru,Furniture,Tables,4.7,1,4299.0,4299.0,18%,2nd Wave,Tier_1,0,0,Yes,InnoFur,4,2021,Weekday,8.366137716496281,End,Male,"Domain Expert, Ergonomics",Married,No,Prefer Not to Say,UPI,Yes,sometimes but not consistent,Yes,sometimes but not consistent,Rarely,2.0,very often,3.0,4.0,4.0,5.0,6.0,6.0,6.0,7.0,6.0,5.0,3.0,3.0,7.0,1.0,1.0,6.0,5.0,5.0,7.0,7.0,6.0,6.0,7.0,2.0,5.0,2.0,4.0,6.0,3.0,3.0,5.0,5.0,6.0,7.0,7.0,7.0,3.0,4.0,4.0,1.0,6.0,1.0,32.0,No,Tier 3
23,OD121669935248437000,G3M1R4,2021-05-01,Karnataka,Bengaluru,Food Products,Food Products,4.4,16,1582.0,1380.0,5%,2nd Wave,Tier_1,13,0,Yes,HOUSEHOLD,5,2021,Weekend,7.22983877815125,Beginning,Male,"Domain Expert, Ergonomics",Married,No,Prefer Not to Say,UPI,Yes,sometimes but not consistent,Yes,sometimes but not consistent,Rarely,2.0,very often,3.0,4.0,4.0,5.0,6.0,6.0,6.0,7.0,6.0,5.0,3.0,3.0,7.0,1.0,1.0,6.0,5.0,5.0,7.0,7.0,6.0,6.0,7.0,2.0,5.0,2.0,4.0,6.0,3.0,3.0,5.0,5.0,6.0,7.0,7.0,7.0,3.0,4.0,4.0,1.0,6.0,1.0,32.0,No,Tier 3
24,OD121759907465155000,G3M1R4,2021-05-11,Karnataka,Bengaluru,Food Products,"Dry Fruit, Nut & Seed",4.3,1,429.0,397.0,0%,2nd Wave,Tier_1,8,0,Yes,Happilo,5,2021,Weekday,5.983936280687191,Mid,Male,"Domain Expert, Ergonomics",Married,No,Prefer Not to Say,UPI,Yes,sometimes but not consistent,Yes,sometimes but not consistent,Rarely,2.0,very often,3.0,4.0,4.0,5.0,6.0,6.0,6.0,7.0,6.0,5.0,3.0,3.0,7.0,1.0,1.0,6.0,5.0,5.0,7.0,7.0,6.0,6.0,7.0,2.0,5.0,2.0,4.0,6.0,3.0,3.0,5.0,5.0,6.0,7.0,7.0,7.0,3.0,4.0,4.0,1.0,6.0,1.0,32.0,No,Tier 3
25,OD121773991222602000,G3M1R3,2021-05-13,Delhi,New Delhi,"Kitchen, Cookware & Serveware",Cookware,3.8,1,355.0,395.0,12%,2nd Wave,Tier_1,0,12,Yes,Expressionss,5,2021,Weekday,5.978885764901122,Mid,Female,Research scholar,Not Married,No,"Rs. 25,000 – 50,000",Net Banking,Yes,everyday,No,No,Never,1.0,sometimes,2.0,2.0,4.0,2.0,4.0,5.0,6.0,7.0,4.0,6.0,5.0,2.0,7.0,6.0,1.0,7.0,5.0,7.0,6.0,4.0,6.0,6.0,7.0,2.0,1.0,1.0,1.0,4.0,3.0,2.0,7.0,7.0,6.0,6.0,7.0,7.0,1.0,7.0,7.0,7.0,6.0,6.0,24.0,No,Tier 3
26,OD121774030011481000,G3M1R3,2021-05-13,Delhi,New Delhi,Audio & Video,Headphones,4.3,1,379.0,379.0,18%,2nd Wave,Tier_1,0,0,Yes,boAt,5,2021,Weekday,5.937536205082426,Mid,Female,Research scholar,Not Married,No,"Rs. 25,000 – 50,000",Net Banking,Yes,everyday,No,No,Never,1.0,sometimes,2.0,2.0,4.0,2.0,4.0,5.0,6.0,7.0,4.0,6.0,5.0,2.0,7.0,6.0,1.0,7.0,5.0,7.0,6.0,4.0,6.0,6.0,7.0,2.0,1.0,1.0,1.0,4.0,3.0,2.0,7.0,7.0,6.0,6.0,7.0,7.0,1.0,7.0,7.0,7.0,6.0,6.0,24.0,No,Tier 3
27,OD121798994913779000,G3M1R7,2021-05-16,Haryana,Gurugram,"Kitchen, Cookware & Serveware","Knives, Choppers & Cutters",4.2,1,451.0,1.0,0%,2nd Wave,Tier_2,100,0,Yes,Ganesh,5,2021,Weekend,0.0,Mid,Female,Housewife,Married,No,"Rs. 1,00, 000 – 1,50,000",Debit Card,Yes,sometimes but not consistent,Yes,once or twice a week,Sometimes,3.0,very often,6.0,6.0,6.0,5.0,6.0,7.0,6.0,6.0,7.0,7.0,7.0,3.0,7.0,5.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,4.0,7.0,6.0,7.0,1.0,7.0,6.0,7.0,5.0,7.0,5.0,3.0,6.0,7.0,7.0,5.0,7.0,5.0,4.0,7.0,4.0,48.0,Yes,Tier 3
28,OD121850888257304000,G3M1R6,2021-05-22,West Bengal,Ranghbaghi,Beauty and Grooming,Body & Face Skin Care,4.5,1,149.0,149.0,18%,2nd Wave,Tier 3,0,0,Yes,Garnier,5,2021,Weekend,5.003946305945459,End,Male,Junior Research Fellow,Not Married,No,"Rs. 25,000 – 50,000",UPI,Yes,sometimes but not consistent,Yes,once or twice a week,Rarely,5.0,sometimes,5.0,5.0,7.0,6.0,6.0,7.0,5.0,7.0,7.0,6.0,5.0,2.0,1.0,1.0,7.0,4.0,6.0,5.0,5.0,7.0,7.0,3.0,2.0,4.0,7.0,1.0,7.0,1.0,1.0,1.0,2.0,4.0,7.0,4.0,7.0,7.0,2.0,3.0,4.0,4.0,3.0,3.0,25.0,No,Tier_1
29,OD121850888257304000,G3M1R6,2021-05-22,West Bengal,Ranghbaghi,Beauty and Grooming,Body & Face Skin Care,4.4,1,203.0,192.0,18%,2nd Wave,Tier 3,6,0,Yes,HIMALAYA,5,2021,Weekend,5.2574953720277815,End,Male,Junior Research Fellow,Not Married,No,"Rs. 25,000 – 50,000",UPI,Yes,sometimes but not consistent,Yes,once or twice a week,Rarely,5.0,sometimes,5.0,5.0,7.0,6.0,6.0,7.0,5.0,7.0,7.0,6.0,5.0,2.0,1.0,1.0,7.0,4.0,6.0,5.0,5.0,7.0,7.0,3.0,2.0,4.0,7.0,1.0,7.0,1.0,1.0,1.0,2.0,4.0,7.0,4.0,7.0,7.0,2.0,3.0,4.0,4.0,3.0,3.0,25.0,No,Tier_1
30,OD121890315111717000,G3M1R3,2021-05-26,Delhi,New Delhi,"Kitchen, Cookware & Serveware",Cookware,4.2,1,399.0,399.0,12%,2nd Wave,Tier_1,0,0,Yes,Trandx,5,2021,Weekday,5.988961416889864,End,Female,Research scholar,Not Married,No,"Rs. 25,000 – 50,000",Net Banking,Yes,everyday,No,No,Never,1.0,sometimes,2.0,2.0,4.0,2.0,4.0,5.0,6.0,7.0,4.0,6.0,5.0,2.0,7.0,6.0,1.0,7.0,5.0,7.0,6.0,4.0,6.0,6.0,7.0,2.0,1.0,1.0,1.0,4.0,3.0,2.0,7.0,7.0,6.0,6.0,7.0,7.0,1.0,7.0,7.0,7.0,6.0,6.0,24.0,No,Tier 3
31,OD121907167346845000,G3M1R6,2021-05-28,West Bengal,Ranghbaghi,Audio & Video,Headphones,3.6,1,1399.0,1399.0,18%,2nd Wave,Tier 3,0,0,Yes,boAt,5,2021,Weekday,7.243512974665482,End,Male,Junior Research Fellow,Not Married,No,"Rs. 25,000 – 50,000",UPI,Yes,sometimes but not consistent,Yes,once or twice a week,Rarely,5.0,sometimes,5.0,5.0,7.0,6.0,6.0,7.0,5.0,7.0,7.0,6.0,5.0,2.0,1.0,1.0,7.0,4.0,6.0,5.0,5.0,7.0,7.0,3.0,2.0,4.0,7.0,1.0,7.0,1.0,1.0,1.0,2.0,4.0,7.0,4.0,7.0,7.0,2.0,3.0,4.0,4.0,3.0,3.0,25.0,No,Tier_1
