,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
90,'Health Care','Personal Care Appliances',0.051861702,0.058510638,0.013297872,0.256410256,4.382284382,0.010263411,1.266140866
121,'Personal Care Appliances',Men's Footwear,0.058510638,0.152925532,0.01462766,0.25,1.634782609,0.005679889,1.129432624
0,'Bed Linen & Blankets','Books',0.042553191,0.179521277,0.010638298,0.25,1.392592593,0.002999095,1.093971631
60,'Health Supplements','Headphones',0.042553191,0.196808511,0.010638298,0.25,1.27027027,0.002263468,1.070921986
29,'Topwear','Books',0.114361702,0.179521277,0.027925532,0.244186047,1.360206718,0.007395173,1.085556465
30,'Winter Wear','Books',0.049202128,0.179521277,0.011968085,0.243243243,1.354954955,0.003135256,1.084204027
144,'Winter Wear','Topwear',0.049202128,0.114361702,0.011968085,0.243243243,2.126964173,0.006341246,1.170307751
184,"'Headphones', ""Men's Footwear""",'Bottomwear',0.043882979,0.090425532,0.010638298,0.242424242,2.680926916,0.006670156,1.200638298
212,"'Mobile Accessories', 'Headphones'",'Health Care',0.043882979,0.051861702,0.010638298,0.242424242,4.674436674,0.008362452,1.251542553
106,'Kitchen Appliances',Men's Footwear,0.055851064,0.152925532,0.013297872,0.238095238,1.556935818,0.004756819,1.111785239
52,'Hair Care and Accessory',Men's Footwear,0.078457447,0.152925532,0.018617021,0.237288136,1.551658069,0.006618874,1.110608747
74,'Headphones','Mobiles',0.196808511,0.196808511,0.046542553,0.236486486,1.201607012,0.007808963,1.051967614
75,'Mobiles','Headphones',0.196808511,0.196808511,0.046542553,0.236486486,1.201607012,0.007808963,1.051967614
34,'Bottomwear',Men's Footwear,0.090425532,0.152925532,0.021276596,0.235294118,1.538618926,0.007448223,1.107712766
79,'Topwear','Headphones',0.114361702,0.196808511,0.026595745,0.23255814,1.181646763,0.004088388,1.04658285
125,'Topwear',Men's Footwear,0.114361702,0.152925532,0.026595745,0.23255814,1.520728008,0.009106921,1.103763701
7,'Body & Face Skin Care','Headphones',0.074468085,0.196808511,0.017287234,0.232142857,1.17953668,0.002631281,1.046016823
88,'Health Care','Mobiles',0.051861702,0.196808511,0.011968085,0.230769231,1.172557173,0.001761261,1.044148936
15,'Health Care','Books',0.051861702,0.179521277,0.011968085,0.230769231,1.285470085,0.002657806,1.06662234
102,'Home Appliances','Topwear',0.058510638,0.114361702,0.013297872,0.227272727,1.987315011,0.006606496,1.14612015
91,'Personal Care Appliances','Health Care',0.058510638,0.051861702,0.013297872,0.227272727,4.382284382,0.010263411,1.227002503
72,'Mobile Accessories','Headphones',0.195478723,0.196808511,0.043882979,0.224489796,1.140650855,0.005411102,1.035694289
73,'Headphones','Mobile Accessories',0.196808511,0.195478723,0.043882979,0.222972973,1.140650855,0.005411102,1.035383904
70,'Headphones',Men's Footwear,0.196808511,0.152925532,0.043882979,0.222972973,1.458049354,0.013785933,1.090148011
55,'Hair Care and Accessory','Mobile Accessories',0.078457447,0.195478723,0.017287234,0.220338983,1.127176294,0.001950472,1.031885985
207,"'Mobile Accessories', 'Mobiles'",'Bottomwear',0.061170213,0.090425532,0.013297872,0.217391304,2.404092072,0.007766523,1.162234043
119,Men's Footwear,'Mobiles',0.152925532,0.196808511,0.033244681,0.217391304,1.104582844,0.003147635,1.026300236
110,'Kitchen Appliances','Mobiles',0.055851064,0.196808511,0.011968085,0.214285714,1.088803089,0.00097612,1.022243714
18,'Kitchen Appliances','Books',0.055851064,0.179521277,0.011968085,0.214285714,1.193650794,0.001941631,1.044245648
23,'Books','Mobile Accessories',0.179521277,0.195478723,0.037234043,0.207407407,1.061022928,0.002141453,1.015050209
217,'Health Care',"'Mobile Accessories', 'Headphones'",0.051861702,0.043882979,0.010638298,0.205128205,4.674436674,0.008362452,1.202856898
245,'Home Appliances',"Men's Footwear, 'Topwear'",0.058510638,0.026595745,0.011968085,0.204545455,7.690909091,0.010411951,1.223708207
27,'Personal Care Appliances','Books',0.058510638,0.179521277,0.011968085,0.204545455,1.139393939,0.001464181,1.031458967
12,'Books','Headphones',0.179521277,0.196808511,0.035904255,0.2,1.016216216,0.00057294,1.003989362
2,'Food Products','Body & Face Skin Care',0.053191489,0.074468085,0.010638298,0.2,2.685714286,0.00667723,1.156914894
133,'Topwear','Mobile Accessories',0.114361702,0.195478723,0.022606383,0.197674419,1.0112324,0.000251103,1.002736664
137,'Topwear','Mobiles',0.114361702,0.196808511,0.022606383,0.197674419,1.004399749,9.90E-05,1.001079248
171,"'Mobile Accessories', 'Mobiles'",'Books',0.061170213,0.179521277,0.011968085,0.195652174,1.089855072,0.00098673,1.020054629
40,'Bottomwear','Topwear',0.090425532,0.114361702,0.017287234,0.191176471,1.671682627,0.006946016,1.094970986
22,'Mobile Accessories','Books',0.195478723,0.179521277,0.037234043,0.19047619,1.061022928,0.002141453,1.013532541
13,'Headphones','Books',0.196808511,0.179521277,0.035904255,0.182432432,1.016216216,0.00057294,1.003560753
143,'Personal Care Appliances','Topwear',0.058510638,0.114361702,0.010638298,0.181818182,1.589852008,0.003946922,1.082446809
124,Men's Footwear,'Topwear',0.152925532,0.114361702,0.026595745,0.173913043,1.520728008,0.009106921,1.072088466
248,"'Mobile Accessories', 'Mobiles'",Men's Footwear,0.061170213,0.152925532,0.010638298,0.173913043,1.137240076,0.001283811,1.025405935
146,"'Mobile Accessories', 'Mobiles'",'Body & Face Skin Care',0.061170213,0.074468085,0.010638298,0.173913043,2.335403727,0.006083069,1.120380739
118,'Mobiles',Men's Footwear,0.196808511,0.152925532,0.033244681,0.168918919,1.104582844,0.003147635,1.019244075
5,'Body & Face Skin Care','Hair Care and Accessory',0.074468085,0.078457447,0.011968085,0.160714286,2.04842615,0.006125509,1.098008148
28,'Books','Topwear',0.179521277,0.114361702,0.027925532,0.155555556,1.360206718,0.007395173,1.048782195
4,'Hair Care and Accessory','Body & Face Skin Care',0.078457447,0.074468085,0.011968085,0.152542373,2.04842615,0.006125509,1.09212766
41,'Topwear','Bottomwear',0.114361702,0.090425532,0.017287234,0.151162791,1.671682627,0.006946016,1.071553483
210,'Bottomwear',"'Mobile Accessories', 'Mobiles'",0.090425532,0.061170213,0.013297872,0.147058824,2.404092072,0.007766523,1.100696992
36,'Mobile Accessories','Bottomwear',0.195478723,0.090425532,0.027925532,0.142857143,1.579831933,0.010249264,1.061170213
3,'Body & Face Skin Care','Food Products',0.074468085,0.053191489,0.010638298,0.142857143,2.685714286,0.00667723,1.104609929
151,'Body & Face Skin Care',"'Mobile Accessories', 'Mobiles'",0.074468085,0.061170213,0.010638298,0.142857143,2.335403727,0.006083069,1.095301418
115,'Topwear',"'Kurtas, Ethnic Sets and Bottoms'",0.114361702,0.058510638,0.015957447,0.139534884,2.384778013,0.009266071,1.094163312
35,Men's Footwear,'Bottomwear',0.152925532,0.090425532,0.021276596,0.139130435,1.538618926,0.007448223,1.056576402
57,'Mobiles','Hair Care and Accessory',0.196808511,0.078457447,0.026595745,0.135135135,1.722400366,0.011154651,1.065533577
78,'Headphones','Topwear',0.196808511,0.114361702,0.026595745,0.135135135,1.181646763,0.004088388,1.024019282
191,'Bottomwear',"'Headphones', 'Mobiles'",0.090425532,0.046542553,0.011968085,0.132352941,2.843697479,0.00775945,1.098900108
50,'Headphones','Hair Care and Accessory',0.196808511,0.078457447,0.025265957,0.128378378,1.636280348,0.009824864,1.057273627
33,'Headphones','Bottomwear',0.196808511,0.090425532,0.025265957,0.128378378,1.419713831,0.007469443,1.043542801
39,'Mobiles','Bottomwear',0.196808511,0.090425532,0.025265957,0.128378378,1.419713831,0.007469443,1.043542801
113,'Topwear','Kitchen Appliances',0.114361702,0.055851064,0.01462766,0.127906977,2.290143965,0.008240437,1.082624113
53,Men's Footwear,'Hair Care and Accessory',0.152925532,0.078457447,0.018617021,0.12173913,1.551658069,0.006618874,1.049281125
185,'Bottomwear',"'Headphones', ""Men's Footwear""",0.090425532,0.043882979,0.010638298,0.117647059,2.680926916,0.006670156,1.083599291
198,'Bottomwear',"'Mobile Accessories', ""Men's Footwear""",0.090425532,0.027925532,0.010638298,0.117647059,4.212885154,0.008113117,1.101684397
203,'Bottomwear',"'Mobiles', ""Men's Footwear""",0.090425532,0.033244681,0.010638298,0.117647059,3.538823529,0.00763213,1.095656028
235,'Topwear',"'Headphones', ""Men's Footwear""",0.114361702,0.043882979,0.013297872,0.11627907,2.649753347,0.00827934,1.081921892
103,'Topwear','Home Appliances',0.114361702,0.058510638,0.013297872,0.11627907,1.987315011,0.006606496,1.065369541
132,'Mobile Accessories','Topwear',0.195478723,0.114361702,0.022606383,0.115646259,1.0112324,0.000251103,1.001452537
86,'Mobile Accessories','Health Care',0.195478723,0.051861702,0.022606383,0.115646259,2.229897087,0.012468524,1.072125614
136,'Mobiles','Topwear',0.196808511,0.114361702,0.022606383,0.114864865,1.004399749,9.90E-05,1.000568459
130,'Mobile Accessories','Personal Care Appliances',0.195478723,0.058510638,0.021276596,0.108843537,1.860235003,0.009839011,1.056480429
10,'Mobiles','Body & Face Skin Care',0.196808511,0.074468085,0.021276596,0.108108108,1.451737452,0.006620643,1.037717602
145,'Topwear','Winter Wear',0.114361702,0.049202128,0.011968085,0.104651163,2.126964173,0.006341246,1.061930091
247,'Topwear',"'Home Appliances', ""Men's Footwear""",0.114361702,0.015957447,0.011968085,0.104651163,6.558139535,0.010143164,1.099060514
229,Men's Footwear,"'Headphones', 'Mobiles'",0.152925532,0.046542553,0.015957447,0.104347826,2.241987578,0.008839902,1.064539868
97,Men's Footwear,'Home Appliances',0.152925532,0.058510638,0.015957447,0.104347826,1.783399209,0.007009676,1.051177443
239,'Mobile Accessories',"'Headphones', 'Mobiles'",0.195478723,0.046542553,0.019946809,0.102040816,2.192419825,0.01084873,1.061804884
8,'Mobile Accessories','Body & Face Skin Care',0.195478723,0.074468085,0.019946809,0.102040816,1.370262391,0.005389882,1.030705996
134,'Mobiles','Personal Care Appliances',0.196808511,0.058510638,0.019946809,0.101351351,1.732186732,0.008431417,1.047672372
241,'Mobiles',"'Mobile Accessories', 'Headphones'",0.196808511,0.043882979,0.019946809,0.101351351,2.30958231,0.011310265,1.063949768
240,'Headphones',"'Mobile Accessories', 'Mobiles'",0.196808511,0.061170213,0.019946809,0.101351351,1.656874266,0.00790799,1.044712846
21,'Books',"'Kurtas, Ethnic Sets and Bottoms'",0.179521277,0.058510638,0.017287234,0.096296296,1.645791246,0.00678333,1.041811999
120,Men's Footwear,'Personal Care Appliances',0.152925532,0.058510638,0.01462766,0.095652174,1.634782609,0.005679889,1.041069967
62,'Headphones','Home Appliances',0.196808511,0.058510638,0.018617021,0.094594595,1.616707617,0.00710163,1.039853922
181,'Topwear',"'Mobile Accessories', 'Books'",0.114361702,0.037234043,0.010638298,0.093023256,2.49833887,0.006380149,1.061511184
142,'Topwear','Personal Care Appliances',0.114361702,0.058510638,0.010638298,0.093023256,1.589852008,0.003946922,1.038052373
54,'Mobile Accessories','Hair Care and Accessory',0.195478723,0.078457447,0.017287234,0.088435374,1.127176294,0.001950472,1.010945935
6,'Headphones','Body & Face Skin Care',0.196808511,0.074468085,0.017287234,0.087837838,1.17953668,0.002631281,1.01465721
85,Men's Footwear,'Health Care',0.152925532,0.051861702,0.013297872,0.086956522,1.676700111,0.005366894,1.038437183
107,Men's Footwear,'Kitchen Appliances',0.152925532,0.055851064,0.013297872,0.086956522,1.556935818,0.004756819,1.034067882
234,Men's Footwear,"'Headphones', 'Topwear'",0.152925532,0.026595745,0.013297872,0.086956522,3.269565217,0.009230704,1.066109422
98,'Mobile Accessories','Home Appliances',0.195478723,0.058510638,0.015957447,0.081632653,1.395176252,0.004519862,1.025177305
162,'Books',"'Mobile Accessories', 'Headphones'",0.179521277,0.043882979,0.01462766,0.081481481,1.856790123,0.006749731,1.040933854
227,'Headphones',"'Mobiles', ""Men's Footwear""",0.196808511,0.033244681,0.015957447,0.081081081,2.438918919,0.009414611,1.052057259
49,'Mobiles','Fragrances',0.196808511,0.039893617,0.015957447,0.081081081,2.032432432,0.008106043,1.044821652
228,'Mobiles',"'Headphones', ""Men's Footwear""",0.196808511,0.043882979,0.015957447,0.081081081,1.847665848,0.007320903,1.040480288
67,'Headphones','Kitchen Appliances',0.196808511,0.055851064,0.015957447,0.081081081,1.451737452,0.004965482,1.027456195
76,'Headphones','Personal Care Appliances',0.196808511,0.058510638,0.015957447,0.081081081,1.385749386,0.004442055,1.024561952
101,'Mobiles','Home Appliances',0.196808511,0.058510638,0.015957447,0.081081081,1.385749386,0.004442055,1.024561952
246,Men's Footwear,"'Home Appliances', 'Topwear'",0.152925532,0.013297872,0.011968085,0.07826087,5.885217391,0.009934501,1.070478723
223,Men's Footwear,"'Mobile Accessories', 'Headphones'",0.152925532,0.043882979,0.011968085,0.07826087,1.783399209,0.005257257,1.037296768
157,Men's Footwear,"'Books', 'Headphones'",0.152925532,0.035904255,0.011968085,0.07826087,2.179710145,0.006477408,1.045952931
161,'Mobile Accessories',"'Books', 'Headphones'",0.195478723,0.035904255,0.01462766,0.074829932,2.084152179,0.007609142,1.042074077
108,'Mobile Accessories','Kitchen Appliances',0.195478723,0.055851064,0.01462766,0.074829932,1.339812115,0.003709965,1.020513924
163,'Headphones',"'Mobile Accessories', 'Books'",0.196808511,0.037234043,0.01462766,0.074324324,1.996138996,0.007299683,1.040068334
58,'Headphones','Health Care',0.196808511,0.051861702,0.01462766,0.074324324,1.433125433,0.004420835,1.02426619
205,Men's Footwear,"'Bottomwear', 'Mobiles'",0.152925532,0.025265957,0.010638298,0.069565217,2.753318078,0.006774488,1.047611354
127,Men's Footwear,'Utility Lighting',0.152925532,0.026595745,0.010638298,0.069565217,2.615652174,0.006571129,1.046182144
199,Men's Footwear,"'Mobile Accessories', 'Bottomwear'",0.152925532,0.027925532,0.010638298,0.069565217,2.491097308,0.006367771,1.044752933
187,Men's Footwear,"'Bottomwear', 'Headphones'",0.152925532,0.025265957,0.010638298,0.069565217,2.753318078,0.006774488,1.047611354
122,Men's Footwear,'Speakers',0.152925532,0.015957447,0.010638298,0.069565217,4.35942029,0.008197997,1.057615828
253,Men's Footwear,"'Mobile Accessories', 'Mobiles'",0.152925532,0.061170213,0.010638298,0.069565217,1.137240076,0.001283811,1.009022669
209,'Mobile Accessories',"'Bottomwear', 'Mobiles'",0.195478723,0.025265957,0.013297872,0.068027211,2.692445399,0.008358915,1.045882513
104,'Mobile Accessories','Home Medical Supplies',0.195478723,0.045212766,0.013297872,0.068027211,1.504601841,0.004459739,1.024479733
92,'Mobile Accessories','Health Supplements',0.195478723,0.042553191,0.013297872,0.068027211,1.598639456,0.004979629,1.027333437
141,'Mobiles','Winter Wear',0.196808511,0.049202128,0.013297872,0.067567568,1.373265157,0.003614475,1.019696269
83,'Headphones','Winter Wear',0.196808511,0.049202128,0.013297872,0.067567568,1.373265157,0.003614475,1.019696269
95,'Mobiles','Health Supplements',0.196808511,0.042553191,0.013297872,0.067567568,1.587837838,0.004923042,1.026827012
233,'Headphones',"Men's Footwear, 'Topwear'",0.196808511,0.026595745,0.013297872,0.067567568,2.540540541,0.008063603,1.043940796
211,'Mobiles',"'Mobile Accessories', 'Bottomwear'",0.196808511,0.027925532,0.013297872,0.067567568,2.41956242,0.00780189,1.042514647
26,'Books','Personal Care Appliances',0.179521277,0.058510638,0.011968085,0.066666667,1.139393939,0.001464181,1.008738602
31,'Books','Winter Wear',0.179521277,0.049202128,0.011968085,0.066666667,1.354954955,0.003135256,1.018712006
174,'Books',"'Mobile Accessories', 'Mobiles'",0.179521277,0.061170213,0.011968085,0.066666667,1.089855072,0.00098673,1.005889058
19,'Books','Kitchen Appliances',0.179521277,0.055851064,0.011968085,0.066666667,1.193650794,0.001941631,1.011588146
