,index,Invoice ID,Name,Order Date,State,City,Categories,Subcategories,Ratings,Quantity,MRP,Final Price,GST%%,City_Tier,Discount%,Delivery Fee%,Brand,Sale,Covid,Month,Year,WEEKDAY,Log_Final Price,Time_Month,Gender,Current Job Title,Marital Status,Do you have to care for anyone with chronic illness?,Income (per month),Preferred Mode of Payment,Do you practise meditation? Yes/No,If yes,Do you do any form of exercise?,If yes.1, How often do you volunteer for social-service activities?,Hobbies_Count,How often do you pursue your hobbies?,Collectiv,Life_Satsif,Indiv,LongTermOri,ShortTermOri,Materialism,Spiritualism,EnvBehav,Age,has_child,Lives_in_city_tier,Clusters,More_than_average
10,32,OD121669935248437000,G3M1R4,2021-05-01,Karnataka,Bengaluru,Food Products,Food Products,4.4,16,1582.0,1380.0,5%,Tier_1,13,0,HOUSEHOLD,No,No,5,2021,Weekend,7.22983877815125,Beginning,Male,"Domain Expert, Ergonomics",Married,No,Prefer Not to Say,UPI,Yes,sometimes but not consistent,Yes,sometimes but not consistent,Rarely,2,very often,High,Low,Low,High,Low,Low,High,Low,32,No,Tier 3,2,No
11,33,OD121759907465155000,G3M1R4,2020-05-11,Karnataka,Bengaluru,Food Products,"Dry Fruit, Nut & Seed",4.3,1,429.0,397.0,0%,Tier_1,8,0,Happilo,No,No,5,2020,Weekday,5.983936280687191,Mid,Male,"Domain Expert, Ergonomics",Married,No,Prefer Not to Say,UPI,Yes,sometimes but not consistent,Yes,sometimes but not consistent,Rarely,2,very often,High,Low,Low,High,Low,Low,High,Low,32,No,Tier 3,2,No
12,16,OD119655556725610000,G3M1R5,2020-09-10,Delhi,New Delhi,Mobiles & Accessories,Mobile Accessories,4.3,1,149.0,189.0,28%,Tier_1,0,27,Mitzvah,No,1st Wave,9,2020,Weekday,5.241747015059643,Mid,Male,RESEARCH SCHOLAR,Not Married,No,"Rs. 25,000 – 50,000",UPI,Yes,everyday,Yes,everyday,Sometimes,4,Always,High,Low,Low,High,High,Low,High,Low,24,No,Tier 3,0,No
13,18,OD119738522633432000,G3M1R5,2020-09-20,Delhi,New Delhi,Audio & Video,Headphones,3.9,1,325.0,350.0,18%,Tier_1,5,13,hilips,Yes,1st Wave,9,2020,Weekend,5.857933154483459,End,Male,RESEARCH SCHOLAR,Not Married,No,"Rs. 25,000 – 50,000",UPI,Yes,everyday,Yes,everyday,Sometimes,4,Always,High,Low,Low,High,High,Low,High,Low,24,No,Tier 3,0,No
14,41,OD122545810765860000,G3M1R5,2021-08-10,Uttar Pradesh,Kanpur,Exercise & Fitness,Fitness Accessories,4.3,1,119.0,119.0,18%,Tier_2,0,0,FITKIT,No,No,8,2021,Weekday,4.77912349311153,Mid,Male,RESEARCH SCHOLAR,Not Married,No,"Rs. 25,000 – 50,000",UPI,Yes,everyday,Yes,everyday,Sometimes,4,Always,High,Low,Low,High,High,Low,High,Low,24,No,Tier 3,0,No
15,42,OD122685217121401000,G3M1R5,2021-08-26,Uttar Pradesh,Kanpur,Audio & Video,Headphones,4.3,1,349.0,389.0,18%,Tier_2,0,12,boAt,No,No,8,2021,Weekday,5.963579343618446,End,Male,RESEARCH SCHOLAR,Not Married,No,"Rs. 25,000 – 50,000",UPI,Yes,everyday,Yes,everyday,Sometimes,4,Always,High,Low,Low,High,High,Low,High,Low,24,No,Tier 3,0,No
16,43,OD122813833232914000,G3M1R5,2021-09-10,Uttar Pradesh,Kanpur,Health Care,Health Supplements,4.2,1,1399.0,1399.0,18%,Tier_2,0,0,MUSCLEBLAZE,No,No,9,2021,Weekday,7.243512974665482,Mid,Male,RESEARCH SCHOLAR,Not Married,No,"Rs. 25,000 – 50,000",UPI,Yes,everyday,Yes,everyday,Sometimes,4,Always,High,Low,Low,High,High,Low,High,Low,24,No,Tier 3,0,No
17,44,OD122875819110041000,G3M1R5,2021-09-17,Uttar Pradesh,Kanpur,Health Care,Health Supplements,4.2,1,1399.0,1399.0,18%,Tier_2,0,0,MUSCLEBLAZE,No,No,9,2021,Weekday,7.243512974665482,Mid,Male,RESEARCH SCHOLAR,Not Married,No,"Rs. 25,000 – 50,000",UPI,Yes,everyday,Yes,everyday,Sometimes,4,Always,High,Low,Low,High,High,Low,High,Low,24,No,Tier 3,0,No
18,45,OD122909067679224000,G3M1R5,2021-09-21,Uttar Pradesh,Kanpur,Health Care,Health Supplements,4.2,1,1399.0,1399.0,18%,Tier_2,0,0,MUSCLEBLAZE,No,No,9,2021,Weekday,7.243512974665482,End,Male,RESEARCH SCHOLAR,Not Married,No,"Rs. 25,000 – 50,000",UPI,Yes,everyday,Yes,everyday,Sometimes,4,Always,High,Low,Low,High,High,Low,High,Low,24,No,Tier 3,0,No
19,46,OD122970892762485000,G3M1R5,2021-09-28,Uttar Pradesh,Kanpur,Health Care,Health Supplements,4.2,1,1499.0,1499.0,18%,Tier_2,0,0,MUSCLEBLAZE,No,No,9,2021,Weekday,7.312553498102598,End,Male,RESEARCH SCHOLAR,Not Married,No,"Rs. 25,000 – 50,000",UPI,Yes,everyday,Yes,everyday,Sometimes,4,Always,High,Low,Low,High,High,Low,High,Low,24,No,Tier 3,0,No
20,17,OD119673972444216000,G3M1R6,2020-09-12,West Bengal,Ranghbaghi,Books,Books,4.5,1,247.0,247.0,0%,Tier 3,0,0,Books,No,No,9,2020,Weekend,5.5093883366279774,Mid,Male,Junior Research Fellow,Not Married,No,"Rs. 25,000 – 50,000",UPI,Yes,sometimes but not consistent,Yes,once or twice a week,Rarely,5,sometimes,High,High,Low,High,Low,Low,High,Low,25,No,Tier_1,0,Yes
21,19,OD120136831585343000,G3M1R6,2020-11-05,West Bengal,Ranghbaghi,Mobiles & Accessories,Mobiles,4.4,1,12999.0,12999.0,18%,Tier 3,0,0,POCO,No,1st Wave,11,2020,Weekday,9.47262771040802,Beginning,Male,Junior Research Fellow,Not Married,No,"Rs. 25,000 – 50,000",UPI,Yes,sometimes but not consistent,Yes,once or twice a week,Rarely,5,sometimes,High,High,Low,High,Low,Low,High,Low,25,No,Tier_1,0,Yes
22,20,OD120335361868638000,G3M1R6,2020-11-27,West Bengal,Ranghbaghi,Mobiles & Accessories,Mobile Accessories,4.1,1,119.0,167.0,28%,Tier 3,0,41,CHVTS,No,No,11,2020,Weekday,5.117993812416755,End,Male,Junior Research Fellow,Not Married,No,"Rs. 25,000 – 50,000",UPI,Yes,sometimes but not consistent,Yes,once or twice a week,Rarely,5,sometimes,High,High,Low,High,Low,Low,High,Low,25,No,Tier_1,0,Yes
23,21,OD120410860354442000,G3M1R6,2020-12-06,West Bengal,Bidhan Nagar,Toys and Games,Soft Toys,4.2,1,699.0,699.0,12%,Tier 3,0,0,FamilyStore,No,1st Wave,12,2020,Weekend,6.54965074223381,Beginning,Male,Junior Research Fellow,Not Married,No,"Rs. 25,000 – 50,000",UPI,Yes,sometimes but not consistent,Yes,once or twice a week,Rarely,5,sometimes,High,High,Low,High,Low,Low,High,Low,25,No,Tier_1,0,Yes
24,37,OD121850888257304000,G3M1R6,2021-05-22,West Bengal,Ranghbaghi,Beauty and Grooming,Body & Face Skin Care,4.5,1,149.0,149.0,18%,Tier 3,0,0,Garnier,No,2nd Wave,5,2021,Weekend,5.003946305945459,End,Male,Junior Research Fellow,Not Married,No,"Rs. 25,000 – 50,000",UPI,Yes,sometimes but not consistent,Yes,once or twice a week,Rarely,5,sometimes,High,High,Low,High,Low,Low,High,Low,25,No,Tier_1,0,Yes
25,38,OD121850888257304000,G3M1R6,2021-05-22,West Bengal,Ranghbaghi,Beauty and Grooming,Body & Face Skin Care,4.4,1,203.0,192.0,18%,Tier 3,6,0,HIMALAYA,No,2nd Wave,5,2021,Weekend,5.2574953720277815,End,Male,Junior Research Fellow,Not Married,No,"Rs. 25,000 – 50,000",UPI,Yes,sometimes but not consistent,Yes,once or twice a week,Rarely,5,sometimes,High,High,Low,High,Low,Low,High,Low,25,No,Tier_1,0,Yes
26,40,OD121907167346845000,G3M1R6,2021-05-28,West Bengal,Ranghbaghi,Audio & Video,Headphones,3.6,1,1399.0,1399.0,18%,Tier 3,0,0,boAt,No,2nd Wave,5,2021,Weekday,7.243512974665482,End,Male,Junior Research Fellow,Not Married,No,"Rs. 25,000 – 50,000",UPI,Yes,sometimes but not consistent,Yes,once or twice a week,Rarely,5,sometimes,High,High,Low,High,Low,Low,High,Low,25,No,Tier_1,0,Yes
27,2940,OD119656596585580000,G3M1R6,2020-09-10,West Bengal,Ranghbaghi,"Bags, Wallets & Belts",Backpacks,4.0,1,1179.0,1179.0,18%,Tier 3,0,0,Books,No,1st Wave,9,2020,Weekday,7.072421900537371,Mid,Male,Junior Research Fellow,Not Married,No,"Rs. 25,000 – 50,000",UPI,Yes,sometimes but not consistent,Yes,once or twice a week,Rarely,5,sometimes,High,High,Low,High,Low,Low,High,Low,25,No,Tier_1,0,Yes
28,24,OD121276403113883000,G3M1R7,2021-03-16,Haryana,Gurugram,Clothing and Accessories,"Kurtas, Ethnic Sets and Bottoms",3.1,1,1499.0,1499.0,12%,Tier_2,0,0,7TH,No,No,3,2021,Weekday,7.312553498102598,Mid,Female,Housewife,Married,No,"Rs. 1,00, 000 – 1,50,000",Debit Card,Yes,sometimes but not consistent,Yes,once or twice a week,Sometimes,3,very often,High,High,High,High,High,High,High,Low,48,Yes,Tier 3,1,Yes
29,25,OD121317919935084000,G3M1R7,2021-03-21,Haryana,Gurugram,Clothing and Accessories,Dresses and Gowns,4.0,1,731.0,761.0,5%,Tier_2,0,5,Shree,No,2nd Wave,3,2021,Weekend,6.634633357861686,End,Female,Housewife,Married,No,"Rs. 1,00, 000 – 1,50,000",Debit Card,Yes,sometimes but not consistent,Yes,once or twice a week,Sometimes,3,very often,High,High,High,High,High,High,High,Low,48,Yes,Tier 3,1,Yes
30,26,OD121487298189347000,G3M1R7,2021-04-10,Haryana,Gurugram,Clothing and Accessories,"Kurtas, Ethnic Sets and Bottoms",3.7,1,799.0,844.0,5%,Tier_2,0,6,RAGHUADS,No,No,4,2021,Weekend,6.738152494595957,Mid,Female,Housewife,Married,No,"Rs. 1,00, 000 – 1,50,000",Debit Card,Yes,sometimes but not consistent,Yes,once or twice a week,Sometimes,3,very often,High,High,High,High,High,High,High,Low,48,Yes,Tier 3,1,Yes
31,27,OD121576923047407000,G3M1R7,2021-04-20,Haryana,Gurugram,Home Furnishing,Bed Linen & Blankets,3.5,1,369.0,369.0,5%,Tier_2,0,0,Luxury,No,2nd Wave,4,2021,Weekday,5.910796644040527,End,Female,Housewife,Married,No,"Rs. 1,00, 000 – 1,50,000",Debit Card,Yes,sometimes but not consistent,Yes,once or twice a week,Sometimes,3,very often,High,High,High,High,High,High,High,Low,48,Yes,Tier 3,1,Yes
32,28,OD121582192598244000,G3M1R7,2021-04-21,Haryana,Gurugram,Clothing and Accessories,"Kurtas, Ethnic Sets and Bottoms",4.3,1,479.0,479.0,5%,Tier_2,0,0,Skc,No,2nd Wave,4,2021,Weekday,6.171700597410915,End,Female,Housewife,Married,No,"Rs. 1,00, 000 – 1,50,000",Debit Card,Yes,sometimes but not consistent,Yes,once or twice a week,Sometimes,3,very often,High,High,High,High,High,High,High,Low,48,Yes,Tier 3,1,Yes
33,29,OD121644973790674000,G3M1R7,2021-04-28,Haryana,Gurugram,Beauty and Grooming,Hair Care and Accessory,4.1,1,449.0,511.0,18%,Tier_2,0,14,MamaEarth,No,2nd Wave,4,2021,Weekday,6.236369590203704,End,Female,Housewife,Married,No,"Rs. 1,00, 000 – 1,50,000",Debit Card,Yes,sometimes but not consistent,Yes,once or twice a week,Sometimes,3,very often,High,High,High,High,High,High,High,Low,48,Yes,Tier 3,1,Yes
34,30,OD121644973790674000,G3M1R7,2021-04-28,West Bengal,Ranghbaghi,Beauty and Grooming,Hair Care and Accessory,4.1,1,449.0,511.0,18%,Tier 3,0,14,MamaEarth,No,2nd Wave,4,2021,Weekday,6.236369590203704,End,Female,Housewife,Married,No,"Rs. 1,00, 000 – 1,50,000",Debit Card,Yes,sometimes but not consistent,Yes,once or twice a week,Sometimes,3,very often,High,High,High,High,High,High,High,Low,48,Yes,Tier 3,1,Yes
35,36,OD121798994913779000,G3M1R7,2021-05-16,Haryana,Gurugram,"Kitchen, Cookware & Serveware","Knives, Choppers & Cutters",4.2,1,451.0,1.0,0%,Tier_2,100,0,Ganesh,No,2nd Wave,5,2021,Weekend,0.0,Mid,Female,Housewife,Married,No,"Rs. 1,00, 000 – 1,50,000",Debit Card,Yes,sometimes but not consistent,Yes,once or twice a week,Sometimes,3,very often,High,High,High,High,High,High,High,Low,48,Yes,Tier 3,1,Yes
36,49,OD221992334674215000,G3M1R7,2021-06-07,Haryana,Gurugram,Clothing and Accessories,Bottomwear,4.6,1,349.0,349.0,5%,Tier_2,0,0,Epoxy,No,No,6,2021,Weekday,5.855071922202427,Beginning,Female,Housewife,Married,No,"Rs. 1,00, 000 – 1,50,000",Debit Card,Yes,sometimes but not consistent,Yes,once or twice a week,Sometimes,3,very often,High,High,High,High,High,High,High,Low,48,Yes,Tier 3,1,Yes
37,50,OD222016459417811000,G3M1R7,2021-06-10,Haryana,Gurugram,Jewellery,Artificial Jewellery,4.0,1,169.0,169.0,0%,Tier_2,0,0,NAKSHATRA,No,No,6,2021,Weekday,5.1298987149230735,Mid,Female,Housewife,Married,No,"Rs. 1,00, 000 – 1,50,000",Debit Card,Yes,sometimes but not consistent,Yes,once or twice a week,Sometimes,3,very often,High,High,High,High,High,High,High,Low,48,Yes,Tier 3,1,Yes
38,51,OD222088745433449000,G3M1R7,2021-06-18,Haryana,Gurugram,Health Care,Home Medical Supplies,3.9,1,299.0,299.0,5%,Tier_2,0,0,Nea,No,No,6,2021,Weekday,5.700443573390687,Mid,Female,Housewife,Married,No,"Rs. 1,00, 000 – 1,50,000",Debit Card,Yes,sometimes but not consistent,Yes,once or twice a week,Sometimes,3,very often,High,High,High,High,High,High,High,Low,48,Yes,Tier 3,1,Yes
39,52,OD222175582191529000,G3M1R7,2021-06-28,Haryana,Gurugram,Clothing and Accessories,Topwear,4.1,1,364.0,363.0,5%,Tier_2,12,11,Roden,Yes,No,6,2021,Weekday,5.8944028342648505,End,Female,Housewife,Married,No,"Rs. 1,00, 000 – 1,50,000",Debit Card,Yes,sometimes but not consistent,Yes,once or twice a week,Sometimes,3,very often,High,High,High,High,High,High,High,Low,48,Yes,Tier 3,1,Yes
40,53,OD222208202388419000,G3M1R7,2021-07-02,Haryana,Gurugram,Clothing and Accessories,Topwear,4.0,1,307.0,326.0,5%,Tier_2,7,14,Roden,Yes,No,7,2021,Weekday,5.786897381366708,Beginning,Female,Housewife,Married,No,"Rs. 1,00, 000 – 1,50,000",Debit Card,Yes,sometimes but not consistent,Yes,once or twice a week,Sometimes,3,very often,High,High,High,High,High,High,High,Low,48,Yes,Tier 3,1,Yes
41,54,OD222294511046956000,G3M1R7,2020-07-12,Haryana,Gurugram,Home Furnishing,Bed Linen & Blankets,3.9,1,272.0,272.0,5%,Tier_2,0,0,zabolon,No,No,7,2020,Weekend,5.605802066295998,Mid,Female,Housewife,Married,No,"Rs. 1,00, 000 – 1,50,000",Debit Card,Yes,sometimes but not consistent,Yes,once or twice a week,Sometimes,3,very often,High,High,High,High,High,High,High,Low,48,Yes,Tier 3,1,Yes
42,55,OD222380158110050000,G3M1R7,2021-07-22,Haryana,Gurugram,Health Care,Home Medical Supplies,4.0,1,164.0,164.0,18%,Tier_2,0,0,Aryshaa,No,No,7,2021,Weekday,5.099866427824199,End,Female,Housewife,Married,No,"Rs. 1,00, 000 – 1,50,000",Debit Card,Yes,sometimes but not consistent,Yes,once or twice a week,Sometimes,3,very often,High,High,High,High,High,High,High,Low,48,Yes,Tier 3,1,Yes
43,56,OD222546805641621000,G3M1R7,2021-08-10,Haryana,Gurugram,Beauty and Grooming,Body & Face Skin Care,4.1,1,118.0,160.0,18%,Tier_2,0,36,ShopiMoz,No,No,8,2021,Weekday,5.075173815233827,Mid,Female,Housewife,Married,No,"Rs. 1,00, 000 – 1,50,000",Debit Card,Yes,sometimes but not consistent,Yes,once or twice a week,Sometimes,3,very often,High,High,High,High,High,High,High,Low,48,Yes,Tier 3,1,Yes
44,57,OD222650859437555000,G3M1R7,2021-08-22,Haryana,Gurugram,Health Care,Professional medical supplies,4.3,1,249.0,249.0,5%,Tier_2,0,0,3W,No,No,8,2021,Weekend,5.517452896464707,End,Female,Housewife,Married,No,"Rs. 1,00, 000 – 1,50,000",Debit Card,Yes,sometimes but not consistent,Yes,once or twice a week,Sometimes,3,very often,High,High,High,High,High,High,High,Low,48,Yes,Tier 3,1,Yes
45,61,OD222797072279067000,G3M1R7,2021-09-08,Haryana,Gurugram,Food Products,Tea Powder,4.4,1,156.0,156.0,5%,Tier_2,0,0,Lipton,Yes,No,9,2021,Weekday,5.049856007249537,Beginning,Female,Housewife,Married,No,"Rs. 1,00, 000 – 1,50,000",Debit Card,Yes,sometimes but not consistent,Yes,once or twice a week,Sometimes,3,very often,High,High,High,High,High,High,High,Low,48,Yes,Tier 3,1,Yes
46,62,OD222797083943245000,G3M1R7,2021-09-08,Haryana,Gurugram,Food Products,Food Spreads,4.5,1,293.0,293.0,12%,Tier_2,0,0,MYFITNESS,Yes,No,9,2021,Weekday,5.680172609017068,Beginning,Female,Housewife,Married,No,"Rs. 1,00, 000 – 1,50,000",Debit Card,Yes,sometimes but not consistent,Yes,once or twice a week,Sometimes,3,very often,High,High,High,High,High,High,High,Low,48,Yes,Tier 3,1,Yes
47,64,OD222972947918934000,G3M1R7,2021-09-29,Haryana,Gurugram,Clothing and Accessories,"Kurtas, Ethnic Sets and Bottoms",4.3,1,566.0,566.0,5%,Tier_2,0,0,jayleen,No,No,9,2021,Weekday,6.338594078203183,End,Female,Housewife,Married,No,"Rs. 1,00, 000 – 1,50,000",Debit Card,Yes,sometimes but not consistent,Yes,once or twice a week,Sometimes,3,very often,High,High,High,High,High,High,High,Low,48,Yes,Tier 3,1,Yes
48,65,OD222977741348042000,G3M1R7,2021-09-29,Haryana,Gurugram,Exercise & Fitness,Fitness Accessories,3.3,1,199.0,232.0,5%,Tier_2,0,17,SKYFIT,No,No,9,2021,Weekday,5.44673737166631,End,Female,Housewife,Married,No,"Rs. 1,00, 000 – 1,50,000",Debit Card,Yes,sometimes but not consistent,Yes,once or twice a week,Sometimes,3,very often,High,High,High,High,High,High,High,Low,48,Yes,Tier 3,1,Yes
49,66,OD222982317911473000,G3M1R7,2021-09-30,Haryana,Gurugram,Clothing and Accessories,"Kurtas, Ethnic Sets and Bottoms",4.4,1,934.0,887.0,5%,Tier_2,6,0,Dhavan,No,No,9,2021,Weekday,6.787844982309579,End,Female,Housewife,Married,No,"Rs. 1,00, 000 – 1,50,000",Debit Card,Yes,sometimes but not consistent,Yes,once or twice a week,Sometimes,3,very often,High,High,High,High,High,High,High,Low,48,Yes,Tier 3,1,Yes
50,67,OD223011842632064000,G3M1R7,2021-10-03,Haryana,Gurugram,Health Care,Home Medical Supplies,4.1,1,194.0,194.0,5%,Tier_2,0,0,Nea,No,No,10,2021,Weekend,5.267858159063328,Beginning,Female,Housewife,Married,No,"Rs. 1,00, 000 – 1,50,000",Debit Card,Yes,sometimes but not consistent,Yes,once or twice a week,Sometimes,3,very often,High,High,High,High,High,High,High,Low,48,Yes,Tier 3,1,Yes
51,2941,OD222852318147337000,G3M1R7,2021-09-15,Haryana,Gurugram,Clothing and Accessories,"Kurtas, Ethnic Sets and Bottoms",4.0,1,699.0,699.0,5%,Tier_2,0,0,Nk,No,No,9,2021,Weekday,6.54965074223381,Mid,Female,Housewife,Married,No,"Rs. 1,00, 000 – 1,50,000",Debit Card,Yes,sometimes but not consistent,Yes,once or twice a week,Sometimes,3,very often,High,High,High,High,High,High,High,Low,48,Yes,Tier 3,1,Yes
52,34,OD121773991222602000,G3M1R3,2021-05-13,Delhi,New Delhi,"Kitchen, Cookware & Serveware",Cookware,3.8,1,355.0,395.0,12%,Tier_1,0,12,Expressionss,No,2nd Wave,5,2021,Weekday,5.978885764901122,Mid,Female,Research scholar,Not Married,No,"Rs. 25,000 – 50,000",Net Banking,Yes,everyday,No,No,Never,1,sometimes,High,Low,Low,High,Low,Low,High,High,24,No,Tier 3,0,No
53,35,OD121774030011481000,G3M1R3,2021-05-13,Delhi,New Delhi,Audio & Video,Headphones,4.3,1,379.0,379.0,18%,Tier_1,0,0,boAt,No,2nd Wave,5,2021,Weekday,5.937536205082426,Mid,Female,Research scholar,Not Married,No,"Rs. 25,000 – 50,000",Net Banking,Yes,everyday,No,No,Never,1,sometimes,High,Low,Low,High,Low,Low,High,High,24,No,Tier 3,0,No
54,39,OD121890315111717000,G3M1R3,2021-05-26,Delhi,New Delhi,"Kitchen, Cookware & Serveware",Cookware,4.2,1,399.0,399.0,12%,Tier_1,0,0,Trandx,No,2nd Wave,5,2021,Weekday,5.988961416889864,End,Female,Research scholar,Not Married,No,"Rs. 25,000 – 50,000",Net Banking,Yes,everyday,No,No,Never,1,sometimes,High,Low,Low,High,Low,Low,High,High,24,No,Tier 3,0,No
55,58,OD222699937076959000,G3M1R8,2021-08-28,West Bengal,Kolkata,Health Care,Professional medical supplies,3.9,1,199.0,199.0,5%,Tier_1,0,0,Sugero,No,No,8,2021,Weekend,5.293304824724492,End,Female,PhD Student,Not Married,No,"Rs. 25,000 – 50,000",Cash on Delivery,Yes,everyday,Yes,everyday,Always,2,sometimes,High,High,Low,High,Low,Low,High,High,23,No,Tier_1,0,No
56,59,OD222699947484464000,G3M1R8,2021-08-29,West Bengal,Kolkata,Food Products,Food Products,4.4,10,1565.0,922.0,5%,Tier_1,42,0,HOUSEHOLD,No,No,8,2021,Weekend,6.826545223556594,End,Female,PhD Student,Not Married,No,"Rs. 25,000 – 50,000",Cash on Delivery,Yes,everyday,Yes,everyday,Always,2,sometimes,High,High,Low,High,Low,Low,High,High,23,No,Tier_1,0,No
57,60,OD222718743081617000,G3M1R8,2021-08-30,West Bengal,Kolkata,Health Care,Professional medical supplies,3.9,1,199.0,199.0,5%,Tier_1,0,0,Sugero,No,No,8,2021,Weekday,5.293304824724492,End,Female,PhD Student,Not Married,No,"Rs. 25,000 – 50,000",Cash on Delivery,Yes,everyday,Yes,everyday,Always,2,sometimes,High,High,Low,High,Low,Low,High,High,23,No,Tier_1,0,No
58,63,OD222970591396236000,G3M1R8,2021-09-08,West Bengal,Kolkata,Food Products,Food Products,4.4,13,2725.0,1754.0,0%,Tier_1,36,0,HOUSEHOLD,Yes,No,9,2021,Weekday,7.469654172932128,Beginning,Female,PhD Student,Not Married,No,"Rs. 25,000 – 50,000",Cash on Delivery,Yes,everyday,Yes,everyday,Always,2,sometimes,High,High,Low,High,Low,Low,High,High,23,No,Tier_1,0,No
